road_id,road_name,operation_date,number_of_lines,
5,acatzingo-cd. mendoza,29-03-1969,,
11,amozoc-perote y libramiento perote,02-07-2004,,
68,armería-manzanillo,11-08-1991,,
17,arriaga-ocozocoautla,27-11-2007,,
50,atlacomulco-maravatío,01-10-1989,,
127,autopista-siervo de la nacion-norte-sur,06-10-2021,,
126,autopista-siervo de la nacion-sur-norte,06-10-2021,,
124,autopista-urbana-norte-norte-sur,04-12-2012,,
125,autopista-urbana-norte-sur-norte,04-12-2012,,
118,autopista-urbana-sur-norte-sur,27-10-2016,,
119,autopista-urbana-sur-sur-norte,27-10-2016,,
28,ávila camacho-tihuatlán,27-11-2012,,
94,cadereyta-reynosa,05-04-1993,,
130,camargo-delicias,13-05-1989,,
13,cardel-veracruz,01-05-1994,,
40,cd. cuahutémoc-osiris,23-12-2002,,
,cd. mendoza-córdoba,29-12-1969,,
,cedral-playa del carmen,14-09-2014,,
115,chamapa-lechería,01-10-1994,,
23,champoton-campeche,13-01-1993,,
72,chapalilla-compostela,17-08-1973,,
6,cordoba-veracruz,11-06-1992,,
7,cuacnopalan-oaxaca,29-11-1994,,
60,cuernavaca-acapulco,22-10-1990,,
80,durango-mazatlán,01-04-2009,,
81,durango-yerbanis,23-09-1993,,
,ecatepec-peñón,18-09-2015,,
25,ecatepec-pirámides,21-12-1991,,
,el centinela-la rumorosa,12-05-1996,,
129,el sueco-villa ahumada,30-12-1989,,
110,ensenada-tijuana,25-04-1967,,
18,ent. agua dulce-cardenas,10-11-2000,,
27,ent. tulancingo-venta grande,16-07-2001,,
79,estacion don-nogales,01-06-1989,,
85,goméz palacio-corralitos,08-11-1994,,
67,guadalajara-colima,09-01-1989,,
69,guadalajara-tepic,25-02-1994,,
65,guadalajara-zapotlanejo,01-08-1994,,
30,gutiérrez zamora-tihuatlán,22-09-2001,,
131,jiménez-camargo,15-05-1990,,
49,la marquesa-lerma,21-07-2016,,
59,la pera-cuautla,11-08-1994,,
8,la tinaja-cosoleacaque,20-10-1993,,
115,la venta-chamapa,16-02-1998,4,bidireccional
42,lagos de moreno villa de arriaga,25-07-2012,,
15,las chopas-ocozocuautla,06-09-2002,,
116,las varas-vallarta,28-12-2024,,
39,león-aguascalientes,30-09-1992,,
37,libramiento de irapuato,01-10-2010,,
2,libramiento amecameca-nepantla,19-03-2014,,
47,libramiento cd. valles-tamuin,07-07-2016,,
,libramiento de chilpancingo,22-08-2012,,
76,libramiento de culiacan,13-08-2012,,
,libramiento de fresnillo,08-03-1993,,
53,libramiento de la piedad,29-11-2012,,
90,libramiento de matehuala,13-11-2004,,
74,libramiento de mazatlán,18-12-2014,,
108,libramiento de mexicalli,20-06-2006,,
54,libramiento de morelia,01-02-2016,,
132,libramiento de nogales,23-02-1999,,
64,libramiento de tecpan,19-03-2008,,
70,libramiento de tepic,22-03-2016,,
19,libramiento de villahermosa,25-11-2016,,
,libramiento de víctor rosales,08-10-1991,,
,libramiento felipe carrillo puerto,23-07-2016,,
46,libramiento noreste de querétaro,13-03-1992,,
,libramiento norte de la ciudad de méxico,24-03-2006,,
83,libramiento norte de la laguna,19-10-2014,,
43,libramiento norte de san luis potosi,16-05-2014,,
86,libramiento oriente de chihuahua,16-04-2015,,
88,libramiento oriente de saltillo,05-12-1992,,
45,libramiento oriente de san luis potosi,23-08-1991,,
44,libramiento poniente de san luis potosi,23-01-2017,,
32,libramiento poniente de tampico,03-08-1991,,
66,libramiento sur de guadalajara,28-07-2016,,
95,libramiento sur ii de reynosa,15-11-2012,,
51,maravatío-zapotlanejo,21-10-1993,,
75,mazatlán-culiacán,26-10-1992,,
114,mérida-cancún,22-12-1991,,
58,méxico-cuernavaca,11-08-1994,,
48,méxico-la marquesa,19-10-1990,,
24,mexico-pachuca,23-02-1994,,
1,mexico-puebla,05-05-1962,,
35,méxico-querétaro,01-10-1958,,
9,mitla-tehuantepec,04-03-2016,,
93,monterrey-nuevo laredo,31-07-1991,,
87,monterrey-saltillo y libramiento norponiente de saltillo,01-10-2009,,
117,morelia-salamanca,09-12-2006,,
57,nueva italia-lázaro cárdenas,17-10-2001,,
,palmillas-apaseo el grande,19-05-2017,,
55,pátzcuaro-uruapan,18-09-1998,,
26,peñón-texcoco,19-03-1994,,
12,perote-banderilla y libramiento de xalapa,01-11-2012,,
4,puebla-acatzingo,29-03-1969,,
135,puente alvarado,13-11-1964,,
136,puente anzalduas,15-12-2009,4,
91,puente cadereyta,25-10-1968,,
102,puente camargo,12-08-1966,,
137,puente caracol,15-05-1966,,
92,puente cd. acuña,25-03-1979,,
134,puente solidaridad (colombia),31-07-1991,8,
138,puente coatzacoalcos,18-03-1962,2,
77,puente culiacán,21-09-1992,,
63,puente de ixtla-iguala,11-08-1994,,
139,puente dovalí jaime,31-08-1984,,
140,puente dr. ignacio chávez,20-01-2000,4,
22,puente el zacatal,24-11-1994,,
20,puente grijalva,20-12-1967,,
142,puente int. guadalupe tornillo,05-02-2016,4,
143,puente int. lerdo-stanton,01-08-2012,4,
144,puente josé lópez portillo,29-01-2010,2,
99,puente juárez-lincon,11-10-1979,,
52,puente la piedad,17-04-1969,,
145,puente la unidad-eugenio echeverria castellot,15-03-2005,,
146,puente laredo I,11-10-1979,4,
103,puente las flores,16-03-1971,,
147,puente libre comercio,01-12-1992,4,
97,puente los tomates,30-04-1999,,
105,puente matamoros,16-06-1964,,
100,puente miguel alemán,01-06-1967,,
14,puente nautla,01-04-1967,,
148,puente nuevo laredo iii,24-04-2000,6,
104,puente ojinaga,12-03-1973,,
149,puente papaloapan,15-05-1966,2,
150,puente paso del norte,14-08-1973,4,
34,puente pánuco,23-09-1961,,
106,puente piedras negras,13-11-1975,,
107,puente piedras negras ii,24-09-1999,,
151,puente refinería lázaro cárdenas,01-03-2012,,
96,puente reynosa,01-06-1967,,
152,puente reynosa-pharr,10-01-1995,,
153,puente río bravo-donna,14-12-2010,6,
154,puente rodolfo robles,31-05-1975,2,
101,puente san juan,04-07-1972,,
133,puente san luis río colorado ii,04-11-2010,,
155,puente san miguel,26-12-1992,4,
78,puente sinaloa,01-09-1960,,
156,puente suchiate II,02-07-2001,2,
33,puente tampico,21-11-1988,,
31,puente tecolutla,28-04-1969,,
157,puente tlacotalpan,12-10-1976,,
21,puente usumacinta,16-05-1968,,
158,puente zaragoza-ysleta,20-12-1990,4,
89,puerto méxico-ent. la carbonera,01-05-1994,,
36,querétaro-irapuato,12-02-1962,,
62,rancho viejo-taxco,14-07-1996,,
98,reynosa-matamoros,30-04-1999,,
113,río verde-cd. valles,10-01-2013,,
109,rumorosa-tecate,17-12-1998,,
38,salamanca-león,11-12-2014,,
10,salina cruz-la ventosa,15-05-2003,,
112,san josé del cabo-aeropuerto los cabos-cabo san lucas,17-10-2002,,
3,san martín texmelucan-tlaxcala,12-09-1991,,
128,santa ana-altar,17-02-2006,,
121,supervia,01-11-1998,,
71,tepic-san blas,22-02-2017,,
111,tecate-tijuana,28-09-1991,,
